name,slug,category,pillar,description,url,aliases,parent_slug
Automação de Marketing e Vendas,automacao-de-marketing-e-vendas,Automação de Marketing e Vendas,Business Performance,,https://produtos.totvs.com/produto/automacao-de-marketing-e-vendas/,Automação de Marketing e Vendas|automacao de marketing e vendas|RD Station,
Chat Commerce by Chatbot Maker,chat-commerce-by-chatbot-maker,Digital Commerce,Business Performance,,https://produtos.totvs.com/produto/digital-commerce/chat-commerce-by-chatbot-maker/,Chat Commerce by Chatbot Maker,digital-commerce
Digital Commerce,digital-commerce,Digital Commerce,Business Performance,Os produtos TOTVS estão em constante evolução para transpor desafios e acompanhar cada etapa da jornada digital da sua empresa.,https://produtos.totvs.com/produto/digital-commerce/,Digital Commerce,
Plataforma de Marketplace by Omnik,plataforma-de-marketplace-by-omnik,Digital Commerce,Business Performance,,https://produtos.totvs.com/produto/digital-commerce/plataforma-de-marketplace-by-omnik/,Plataforma de Marketplace by Omnik,digital-commerce
Shopify,shopify,Digital Commerce,Business Performance,,https://produtos.totvs.com/produto/digital-commerce/shopify/,Shopify,digital-commerce
TOTVS Integrador de Marketplaces,integrador-marketplaces,Digital Commerce,Business Performance,Conte com um hub centralizado para gestão operacional de plataformas de marketplace.,https://produtos.totvs.com/produto/digital-commerce/integrador-marketplaces/,TOTVS Integrador de Marketplaces|Integrador de Marketplaces|integrador marketplaces,digital-commerce
Agro,agro,Agro,Gestão,Os produtos TOTVS estão em constante evolução para transpor desafios e acompanhar cada etapa da jornada digital da sua empresa.,https://produtos.totvs.com/produto/agro/,Agro,
TOTVS Agro Beneficiamento,beneficiamento,Agro,Gestão,"Conte com uma solução de beneficiamento voltada para o cultivo do algodão, com um conjunto completo de ferramentas para acompanhar todo o processo: desde a chegada dos fardões até o emblocamento físico do produto.",https://produtos.totvs.com/produto/agro/beneficiamento/,TOTVS Agro Beneficiamento|Agro Beneficiamento|beneficiamento,agro
TOTVS Agro Beneficiamento - Linha Protheus,beneficiamento-linha-protheus,Agro,Gestão,"O TOTVS Agro Beneficiamento - Linha Protheus é um sistema digital capaz de traçar todo o caminho de seus produtos, desde a chegada da matéria-prima até o final da linha da produção. A solução tem um conjunto completo de ferramentas para realizar beneficiamento de algodão e sementes.",https://produtos.totvs.com/produto/agro/beneficiamento-linha-protheus/,TOTVS Agro Beneficiamento - Linha Protheus|Agro Beneficiamento - Linha Protheus|Agro Beneficiamento|beneficiamento linha protheus,agro
TOTVS Agro Bioenergia,totvs-agro-bioenergia,Agro,Gestão,"O TOTVS Agro Bioenergia é uma solução de gestão agroindustrial completa, com ferramentas que atendem de ponta a ponta a cadeia produtiva da indústria de produção de bioenergia, capaz de gerenciar todas as etapas do processo, da escolha da área de plantio até a fatura do produto final, passando pelo uso de insumos, colheita e processamento.",https://produtos.totvs.com/produto/agro/totvs-agro-bioenergia/,TOTVS Agro Bioenergia|Agro Bioenergia,agro
